"camis","dba","boro","building","street","zipcode","phone","cuisine_description","inspection_date","action","violation_code","violation_description","critical_flag","score","grade","grade_date","record_date","inspection_type","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta","location"
"50005685","KING'S WOK","Brooklyn","261","TROY AVENUE","11213","7183631187","Chinese","2025-11-25T00:00:00.000","Violations were cited in the following area(s).","02G","Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.","Critical","42",,,"2025-11-27T06:00:13.000","Cycle Inspection / Initial Inspection","40.670322851228","-73.936533038833","308","35","035300","3037003","3013830004","BK61","POINT (-73.936533038833 40.670322851228)"
"50131902","YUMMY HOUSE","Bronx","2452","EASTCHESTER ROAD","10469","7186846800","Chinese","2025-11-25T00:00:00.000","Violations were cited in the following area(s).","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Critical","10","A","2025-11-25T00:00:00.000","2025-11-27T06:00:13.000","Cycle Inspection / Initial Inspection","40.861866974653","-73.843310470713","211","13","031200","2052925","2044780032","BX31","POINT (-73.843310470713 40.861866974653)"
"50132315","CHINA EXPRESS","Brooklyn","4106","AVENUE D","11203","7184622779","Chinese","2025-11-25T00:00:00.000","Violations were cited in the following area(s).","08C","Pesticide not properly labeled or used by unlicensed individual. Pesticide, other toxic chemical improperly used/stored. Unprotected, unlocked bait station used.","Not Critical","12","A","2025-11-25T00:00:00.000","2025-11-27T06:00:13.000","Cycle Inspection / Initial Inspection","40.641599437133","-73.937825219714","317","45","083400","3112744","3049750003","BK91","POINT (-73.937825219714 40.641599437133)"
"41618394","CREATE","Queens","36-03","30 AVENUE","11103","7182040333","American","2025-11-25T00:00:00.000","Violations were cited in the following area(s).","06C","Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.","Critical","33",,,"2025-11-27T06:00:13.000","Cycle Inspection / Initial Inspection","40.764958420115","-73.917251797126","401","22","006502","4009272","4006300047","QN70","POINT (-73.917251797126 40.764958420115)"
"50099874","LARK CAFE","Brooklyn","1007","CHURCH AVENUE","11218","7186761410","Coffee/Tea","2025-11-25T00:00:00.000","Violations were cited in the following area(s).","08B","Garbage receptacle not pest or water resistant, with tight-fitting lids, and covered except while in active use. Garbage receptacle and cover not cleaned after emptying and prior to reuse. Garbage, refuse and other solid and liquid waste not collected, stored, removed and disposed of so as to prevent a nuisance.","Not Critical","22",,,"2025-11-27T06:00:13.000","Cycle Inspection / Initial Inspection","40.646673793259","-73.970133648974","314","40","050600","3116332","3050710044","BK42","POINT (-73.970133648974 40.646673793259)"
"50134149","MCKINSEY & CO. - 60TH FLOOR","Manhattan","175","GREENWICH STREET","10007","7043285184","American","2025-11-25T00:00:00.000","Violations were cited in the following area(s).","10F","Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical","2","A","2025-11-25T00:00:00.000","2025-11-27T06:00:13.000","Cycle Inspection / Re-inspection","40.710967893711","-74.012357769399","101","01","001300","1088797","1000580001","MN25","POINT (-74.012357769399 40.710967893711)"
"50107442","DOUBLE CHICKEN PLEASE","Manhattan","115","ALLEN STREET","10002","6466785452","Chicken","2025-11-25T00:00:00.000","Violations were cited in the following area(s).","08A","Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.","Not Critical","24","Z","2025-11-25T00:00:00.000","2025-11-27T06:00:13.000","Cycle Inspection / Re-inspection","40.719457713566","-73.990241669375","103","01","001800","1087060","1004157502","MN27","POINT (-73.990241669375 40.719457713566)"
"50045788","CHINELOS II DELI-GROCERY RESTAURANT","Manhattan","530","WEST  136 STREET","10031","2126906077","Mexican","2025-11-25T00:00:00.000","Violations were cited in the following area(s).","02G","Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.","Critical","35","Z","2025-11-25T00:00:00.000","2025-11-27T06:00:13.000","Cycle Inspection / Re-inspection","40.820131684586","-73.953103328581","109","07","022301","1059808","1019880127","MN06","POINT (-73.953103328581 40.820131684586)"
"50088490","EL TAMALITO","Bronx","531","EAST  138 STREET","10454","7189752146","Mexican","2025-11-25T00:00:00.000","Violations were cited in the following area(s).","10B","Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.","Not Critical","72",,,"2025-11-27T06:00:13.000","Cycle Inspection / Initial Inspection","40.807099259479","-73.918152848368","201","08","003900","2000068","2022660036","BX39","POINT (-73.918152848368 40.807099259479)"
"50144962","T TIME BOBA","Manhattan","100","EAST   96 STREET","10128","9174743032","Coffee/Tea","2025-11-25T00:00:00.000","Violations were cited in the following area(s).","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Critical","27","Z","2025-11-25T00:00:00.000","2025-11-27T06:00:13.000","Pre-permit (Operational) / Re-inspection","40.7863379361","-73.952094433271","108","05","015801","1073155","1015247501","MN40","POINT (-73.952094433271 40.7863379361)"
"50166713","CUPPA COFFEE","Queens","36-36","PRINCE STREET","11354","9096827566","Chinese","2025-11-25T00:00:00.000","Violations were cited in the following area(s).","08A","Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.","Not Critical","28",,,"2025-11-27T06:00:13.000","Cycle Inspection / Initial Inspection","40.761391727105","-73.832895224737","407","20","086900","4534920","4049707501","QN22","POINT (-73.832895224737 40.761391727105)"
