query,relevant_business_ids
rat sighting,50110045
mice in kitchen,50116979 50089252 50145979 50005287 50107274 50142447 50172273 50176201 50115418 40376496 41538633 50103255 50108302 50112765 50050958 40389881 50001950 41678997 40368577 50116338 50094928 50017701 50149976 40962159 50040867 50057810 50103158 41248529 50122300 41177892 50088499 41688078 40933229 41346413 50132331 50163798 50106324 50110282 50161403 50078726 41645463 50176923 41717500 50050015 50090083 50120993 50117060 50119569 50163557 50172478
roaches everywhere,50168008
cockroach infestation,50062470 50138831 50088045
vermin problem,50016457 41312436 50110045 50107274 50102563 41229111 50084632
fly infestation,50138831 50088045
bugs in food,50116979 50089252 50145979 50005287 50107274 50142447 50172273 50176201 50115418 40376496 41538633 50103255 50108302 50112765 50050958 40389881 50001950 41678997 50116338 40368577 50094928 50129914 41241757 50017701 50149976 40962159 50054129 50040867 50057810 50103158 41248529 50122300 41177892 50088499 41688078 40933229 50132331 41346413 50106324 50163798 50110282 50161403 50078726 41645463 50176923 41717500 50050015 50090083 50120993 50117060
pests,50176712 50153601 50089252 50107468 41280104 50008918 41579102 50178994 50095339 50072230 50110594 50115418 50114404 50126777 50109444 50056074 50064374 40729819 50103255 50070957 41504235 50164547 50051748 50046390 50085672 50059486 40389881 50121654 41311804 50108252 40368577 50111463 50151286 50107500 41653102 50038194 50035603 50132634 50144172 50170491 50105299 41134842 50057810 50154150 50045788 50002549 50004900 50001215 41177892 50105107
cold food,50054333 50089252 50006311 50145979 50005287 50178994 50072230 50103255 50112765 50108310 50050958 50046390 50000967 50116338 41241757 50017701 40962159 50144172 50141436 41177892 40933229 50106324 50065236 50078726 50176923 50050015 50119569 50038120 41395934 50172478 50151724 50126599 50046674 41387010 40368207 50152143 50013003 41513509 50039631 50073729 50175833 50117339 50117705 50169727 50134689 50107652 41697878 50152644 41300703 41574275
warm sushi,50101639 50171915 50132315 50128026 40577362 50123040 50171226 41064439 50146268 41532134 50145218
refrigerator broken,50137183 50145185 50012335 41064439 50110461 50144377 50104660 50053053 41391327 50149671
food not hot,50054333 50099387 50178994 50142447 50072230 50110594 50109444 50103255 50112765 50108310 50050958 50000967 50101329 41615946 50108252 50017701 50042783 50144172 50128607 41248529 50141436 41177892 50088499 50106324 50104660 50110282 50065236 50078726 50176923 50050015 50072538 50164200 50038120 50075608 50172478 50151724 50126599 50102666 50130840 50069883 41600223 50013003 50134736 41513509 50034653 50015987 50175819 50117705 50131408 50169727
lukewarm chicken,40606656 50123179 50142447 50074674 50112804 50143595 50128607 50137183 50088490 50105804 50117705 50135324 50079130 50137018 50150466 50145218
freezer issue,50147706 40911251 50079594 50144710 41175823
temperature violation,50127381 50059886 50127646 50177736 50175888 50100856 50118108 50007468 50064374 50101376 50169234 50073223 50125735 50000967 40701605 50173130 50118259 50079130 50069883 50071914 41678997 50169017 40981913 41460700 41089834 50123179 50145354 50105091 50080308 41577295 41137340 50143875 50047978 50070206 50058302 50110911 41615012 50063143 50164414 41625654 50045788 41709057 50088490 50116017 50001215 40790306 50073981 50173116 50154871 50105107
improper holding temperature,50101376 50169234 41577295 50079130 41460700 50008245
unsafe food temp,50116979 50089252 50145979 50005287 50107274 50142447 50172273 50115418 40376496 41538633 50103255 50108302 50112765 50050958 40389881 41678997 50116338 40368577 50129914 41241757 50017701 50149976 40962159 50054129 50040867 50057810 50103158 41248529 50122300 41177892 50088499 41688078 40933229 50132331 41346413 50106324 50163798 50110282 50161403 50078726 41645463 50176923 41717500 50050015 50090083 50119569 50164200 50163557 50172478 50158948
cooling,50129583 50052596 50175675 50045808 50103252 41402310 50145288 50112765 50178023 50078573 50087594 50106412 50178336 41171181 50111555 40511696 50043059 50010993 50125710 50010825 50133682 50143316 50111125 50177412 41532134 50050424 50128607 50109843 50147706 50001215 50141436 50177874 50127281 50121797 50144962 50177228 50105461 50177858 50171905 50177802 50169727
hair in food,50106567 50060917 50090083 50001003 50064194 50168008 50118589 50063625 50085171 50114321 50095339 50008585 50118992 50152799 50164363 50108302 50084846 50009366 50119138 50078573 50142617 50102945 41064439 50094858 40366938 50073931 50178154 50137018 50108363 50069883 50072286 50116258 50116338 50125710 50111463 50178036 50168063 50149976 50119497 50171980 50088045 50128607 50045788 50117261 50074863 50116017 50110890 50045332 50115495 50073916
dirty hands,50109337 50175847 50114629 50060917 50063625 50085171 50005287 50095339 50072230 50118992 50108302 50086120 50101329 50152131 50152660 50116338 50010825 50019273 50111463 50151286 50178036 50149976 50037812 40962159 50128607 50045788 50074863 50116017 50110890 50121797 50144962 50105361 50065236 50090317 50117428 41374469 50138197 50162853 50008640 50090083 50168008 50118589 40666094 50114321 50059733 50157280 50115700 50119478 50120142 50169539
no gloves,50127381 50168436 50176340 50084632 50145288 50129879 41521260 50178023 50178336 50178909 50177489 50174272 50144172 50104443 50088045 50088490 50108486 50169039 50169727
sneezing on food,50090305 50116979 50089252 50145979 50005287 50142447 50176201 50107274 50172273 41374102 50115418 40376496 41538633 50103255 50108302 50112765 50050958 40389881 50001950 41678997 50036660 50116338 40368577 50129914 41241757 50017701 50149976 40962159 41131266 50054129 50040867 50057810 41248529 50103158 50122300 41177892 50088499 41688078 40933229 50132331 41346413 50163798 50106324 50110282 50161403 50078726 41645463 50176923 41717500 50050015
raw chicken,40606656 50079130 50112804 50143595
undercooked meat,50124079 41008526 50088464 50128158 50118235 50120374
cross contamination,40622601 50145040
dirty bathroom,50115985 50019273 50065236 50008640 50126243 50079594 41064439 50143968 50169361 50044965 50097960 50146374 50152131
filthy kitchen,50001256 50177489 50009132 50102349 50175888 50082730 50152131 50060781 41722445
moldy food,50116979 50089252 50145979 50005287 50107274 50142447 50172273 50115418 40376496 41538633 50103255 50108302 50112765 50050958 40389881 41678997 50116338 40368577 50129914 41241757 50017701 50149976 40962159 50054129 50040867 50057810 50103158 41248529 50122300 41177892 50088499 41688078 40933229 50132331 41346413 50106324 50163798 50110282 50161403 50078726 41645463 50176923 41717500 50050015 50090083 50119569 50164200 50163557 50172478 50158948
bare hand contact,50088490 50044508 50056419 50134720 50118589 50117705 50143188 50105461 41683490 50038753 50137122 50104443 50157280 50152799
sanitizer missing,50115919 50138927 50125735 50135324 40787990 41618394 50122395 50143595 50124632
soap empty,50175847 50052596 50107652 50127646 50177639 50085171 50178994 50141730 50126777 50163526 50093653 50084632 50133302 50077812 50103255 50112765 50145288 41572685 40949905 50129879 50101590 50178023 50168457 50051719 41330275 50178955 41387345 41391794 41381542 50101632 50120357 50115985 50134356 50174272 50017701 50123923 41088798 41137340 50132634 50113482 50144172 50177412 50052060 50064444 50173245 50084210 50108486 50141436 50063407 50134639
dirty plates,50115985 50097960 50152131 50065236 50079594 50008640
health hazard,50101639 50178994
sanitary violation,50176712 50151813 50129295 41220121 50153601 41256036 50106493 50104779 50149428 50099387 50145040 50120993 50117060 41462275 50162796 40587698 50015970 50134958 50177212 50119600 41538633 50158948 50018574 50012335 50133339 50044423 50153268 41391794 50160412 50120357 50172306 41607908 50143331 50147040 50144908 50111555 40601738 41631799 50152143 50019273 50178036 50134356 50055164 50081412 50134573 40396231 50144819 41363275 40827287 50072576
grade pending,50060917 40400997 50111806 50127646 50072700 50096572 50119569 50099874 40687209 50084632 50086495 50145288 41572685 50158948 50137592 50090040 50119478 50067644 50102945 50009628 50108252 50010825 50151939 50019273 50032798 50134573 40396231 41154403 50167666 50120374 50101639 50117911 50079182 50156070 50129755 41710522 50073177 50117247 50086994 50146866 50110282
shut down by health department,50116979 50148432 50099387 50155377 50102087 50145979 50076750 50178994 50142447 50172273 40587698 50115418 40662495 40376496 41538633 50070957 50108302 50112765 50046390 50000967 50101329 50108252 50129914 50145133 50149976 50144172 50128607 50103158 41248529 50057810 50141436 50088499 41688078 40933229 50132331 50104660 50110282 50065236 50114299 50161403 50078726 50176923 41717500 50090083 50008640 50082114 41328070 50119569 50163557 50038120
food poisoning,50116979 50089252 50145979 50005287 50107274 50142447 50172273 50115418 40376496 41538633 50103255 50108302 50112765 50050958 40389881 41678997 50116338 40368577 50129914 41241757 50017701 50149976 40962159 50054129 50040867 50057810 50103158 41248529 50122300 41177892 50088499 41688078 40933229 50132331 41346413 50106324 50163798 50110282 50161403 50078726 41645463 50176923 41717500 50050015 50090083 50119569 50164200 50163557 50172478 50158948
sick waiter,50059486
coughing staff,50064194
hygiene issues,50174196
dirty floors,50065236
garbage piling up,50001256 50129295 50175847 50178604 41351354 50001003 50064194 41579102 41462275 50087672 50150833 50038241 50035069 41337501 50160747 50163813 50099576 50084846 41709692 50165566 50036649 40861694 40369016 50120921 50102945 50051719 50044965 50108363 50087294 50108645 50043757 41237861 50107500 50178036 50131605 50168063 50055164 50095406 50139271 50040867 50119497 50110911 50167666 50063143 50058218 41521360 50101639 50018654 50006537 50105361
bad smell,50097960
sewage odor,50148432 50054333 50017891 50099387 50076750 50142447 50072230 50095339 50082613 50126777 50177212 50109444 40376496 41569216 50070957 50112765 50108310 40729819 50050958 50051748 50000967 50139059 50116338 50094928 50151286 41653102 50113062 50035603 50178868 50102563 50144172 50040867 50118183 41248529 50045788 50004900 50002549 50005685 50144962 50104660 50044714 41227024 50114299 50161403 50078726 41645463 50050015 50008640 50151280 41328070
plumbing issues,50174196
water leak,50175847 50052596 50085171 41579102 41402310 50178994 50126777 50093653 50133302 50103255 50112765 50108310 41709692 50168457 40369016 41330275 50101632 50120357 50043757 41237861 50017701 50123923 50095406 41137340 50132634 50139271 50144172 50110911 50108486 50141436 50063407 50106324 50105361 50088958 50149671 50078726 50014149 50082114 50168008 50124011 50099874 50087135 50119600 50120340 50172478 50141224 50151724 50147886 50126599 50124033
no hot water,50175847 50052596 50085171 50178994 50126777 50093653 50133302 50103255 50112765 50168457 41330275 50101632 50120357 50017701 50123923 41137340 50132634 50144172 50108486 50141436 50063407 50106324 50105361 50088958 50149671 50078726 50168008 50124011 50087135 50172478 50141224 50151724 50147886 50126599 50171915 50013003 50134991 50063594 41662349 50120374 50109843 50169727 50107652 50127646 50177639 50141730 50163526 50084632 50077812 50145288
