doc_id,business_id,business_name,text,original_text,source,tags
rev_2_7,50123923,Unknown,as i left an woman approached and identified herself as the manager she was dressed as if she had just awoken in an old tshirt and sweat pants,"As I left an woman approached and identified herself as the manager, she was dressed as if she had just awoken in an old t-shirt and sweat pants",review,pests
rev_7_12,50169361,Unknown,but at least he made sure we had straws for our coffees,but at least he made sure we had straws for our coffees,review,contamination
rev_9_3,50086726,Unknown,also the fries used to be cold and the cheese on the burger was never melted,Also the fries used to be cold and the cheese on the burger was never melted,review,temperature
rev_9_5,50086726,Unknown,now my order has been right a few times in a row and my food hot,Now my order has been right a few times in a row and my food hot,review,temperature
rev_13_1,50116479,Unknown,the drive throuh is so slow it is frustrating but the service is always friendly,"The drive throuh is so slow, it is frustrating but the service is always friendly",review,pests
rev_14_1,50073729,Unknown,the food is usually cold,The food is usually cold,review,temperature
rev_15_1,41543885,Unknown,gunshots from the apartments behind,Gunshots from the apartments behind,review,temperature
rev_18_3,50173394,Unknown,尉hands down this is the slowest mcdonalds drive thru ive experienced in atlanta,尉Hands down this is the slowest McDonald's drive thru I've experienced in Atlanta,review,contamination
rev_18_5,50173394,Unknown,尉as a lover of sweet tea i was completely turned off by this location when i overheard the drive thru operator joking about how sweet it was a few years ago,"尉As a lover of Sweet Tea, I was completely turned off by this location when I overheard the drive thru operator joking about how sweet it was a few years ago",review,pests
rev_18_7,50173394,Unknown,by the time i took my first and only sip i was on i285 headed to perimeter mall and it tasted like cold syrup,"By the time I took my first and only sip, I was on I-285 headed to Perimeter Mall and it tasted like cold syrup",review,temperature
rev_21_1,41317579,Unknown,went in yesterday just to get a soda and could not even park in handicap parking spot because their delivery truck was blocking all spaces,went in yesterday just to get a soda and could not even park in handicap parking spot because their delivery truck was blocking all spaces,review,contamination
rev_21_3,41317579,Unknown,the shift manager made the comment that the car that was waiting needed to be pulled up because they are holding up her line,The shift manager made the comment that the car that was waiting needed to be pulled up because they are holding up her line,review,temperature
rev_21_5,41317579,Unknown,hell i was thinking you are holding up the customer and the others waiting,hell I was thinking you are holding up the customer and the others waiting,review,temperature
rev_22_14,50128026,Unknown,尉the only reason i gave 2 stars was because the fries were hot and the sweet potatoe fries were good and warm,尉The only reason I gave 2 stars was because the fries were hot and the sweet potatoe fries were good and warm,review,temperature
rev_23_2,40967394,Unknown,if i order hot cakes they usually forget either butter or utinsils prompting me to have to go inside,If I order hot cakes they usually forget either butter or utinsils prompting me to have to go inside,review,temperature
rev_24_2,50013003,Unknown,we prefers and paid for items only to get home with 50 of the order accurate,We prefers and paid for items only to get home with 50% of the order accurate,review,pests
rev_24_8,50013003,Unknown,save yourself the frustration and waste if money dont go there,"Save yourself the frustration and waste if money, don't go there",review,pests
rev_25_1,50138186,Unknown,freezing cold reheated soggy fries and twice fried chewy nuggets  straight to my trash can,Freezing cold reheated soggy fries and twice fried chewy nuggets = straight to my trash can,review,temperature
rev_26_2,50141436,Unknown,1 i travel weekly to atlanta hartsfield airport and this mcdonalds never has fresh hot coffee at 430500 am,1 I travel weekly to Atlanta Hartsfield Airport and this McDonald's never has fresh hot coffee at 4:30/5:00 AM,review,temperature
rev_27_8,50137018,Unknown,there were also flies in the dining area which i had to repeatedly brush off my food,There were also flies in the dining area which I had to repeatedly brush off my food,review,pests
rev_27_9,50137018,Unknown,尉as for the food it seemed ok except this was the first time ever that i was given cold syrup for my hotcakes at a mcdonalds,"尉As for the food, it seemed OK, except, this was the first time ever that I was given cold syrup for my hotcakes at a McDonalds",review,temperature
rev_29_3,50144908,Unknown,尉the only thing good about this one is that the management is awesome and its across the street from my house so i can sit around and study till midnight and no one bothers me,尉the only thing good about this one is that the management is awesome and its across the street from my house so i can sit around and study till midnight and no one bothers me,review,contamination
rev_33_13,50147706,Unknown,the fries are always pre sorted and they are a hot or miss,The fries are always pre sorted and they are a hot or miss,review,temperature
rev_33_17,50147706,Unknown,ive had to call corporate about the poor customer service ive had with employees and several managers at this location as well as the constant issue of my order being messed up which is very inconvenient in drivethru,I've had to call corporate about the poor customer service I've had with employees and several managers at this location; as well as the constant issue of my order being messed up (which is very inconvenient in drive-thru),review,pests
rev_34_8,41189848,Unknown,尉forgot to give me a straw for my sweet tea,尉Forgot to give me a straw for my sweet tea,review,contamination
rev_35_2,41163361,Unknown,if you want a hot fudge sundae dont even bother,"If you want a hot fudge sundae, don't even bother",review,temperature
rev_39_1,50144746,Unknown,in food quality and employee humanitywork efforttypically i do not eat mcdonalds food yet similar to the experience of others trapped at northside hospital there is no other option if you are hungry outside of the hospital cafeteria hours of operation,"In food quality and employee humanity/work effortTypically, I do NOT eat McDonalds food; yet similar to the experience of others ""trapped"" at Northside Hospital there is no other option if you are hungry outside of the hospital cafeteria hours of operation",review,pests
rev_39_6,50144746,Unknown,what did surprise me and absolutely shocked me was the customer service offered by employees  how in the world can you be an employee here and not for one minute or even a second acknowledge the obvious fact that you work inside a hospital then consider what that means for each and every person that approaches your counter to order,What did surprise me and absolutely SHOCKED me was the customer service offered by employees ~ HOW in the world can you BE an employee here and NOT for ONE MINUTE or even a second acknowledge the obvious FACT that you work inside a HOSPITAL; then consider what that means for each and every person that approaches your counter to order,review,pests
rev_39_8,50144746,Unknown,how you lost your sense of humanity in all honestly should cause you to pause and contemplate this  are you not aware that you are reflecting how you measure within you your own sense of dignity,"HOW you lost your sense of humanity, in all honestly should cause you to pause and contemplate this ~ Are you not aware that you are reflecting how YOU measure within YOU your own sense of dignity",review,temperature
rev_39_13,50144746,Unknown,尉god forbid on separate occasions i happened to ask for a spoonnapkinstraw,"尉God forbid, on separate occasions I happened to ask for a spoon/napkin/straw",review,"pests,contamination"
rev_39_14,50144746,Unknown,last night i happened to ask for my drink please after receiving my salad and waiting for longer than normal yikes you think i had asked him to draw blood,"Last night, I happened to ask for my drink please (after receiving my salad and waiting for longer than normal) YIKES, you think I had asked him to draw blood",review,contamination
rev_39_18,50144746,Unknown,can anyone clean the crud surrounding the plastic display case for cookies already,Can anyone clean the crud surrounding the plastic display case for cookies ALREADY,review,contamination
rev_39_20,50144746,Unknown,washdisinfect the countertops payment pads straw holders everywhere spills occur including areas customers touch,"Wash/disinfect the countertops, payment pads, straw holders, everywhere spills occur; including areas customers touch",review,contamination
rev_39_24,50144746,Unknown,get a cleaning only employee,GET a cleaning ONLY employee,review,contamination
rev_39_29,50144746,Unknown,how many more years will you ignore not only the unhealthy food options mcdonalds supplies but to continue to allow a daily dose of deliberate and diligent unhealthy negative and put upon attitudes from employees to be delivered to family friends and employees that are there only because they care and are there for your patients,"How many more years will you ignore not only the unhealthy food options McDonalds supplies~ but to continue to ALLOW a daily dose of DELIBERATE and DILIGENT unhealthy, negative, and ""put upon"" attitudes from employees, to be delivered to family, friends and employees that are there only because they CARE and are there for YOUR patients",review,pests
rev_39_32,50144746,Unknown,this toxic waste site is dumping daily doses of negativity inhumanity its seeping and reverberating within the walls of this hospital,"This toxic waste site is dumping daily doses of negativity, inhumanity~ its seeping and reverberating within the walls of this hospital",review,pests
rev_40_0,41510014,Unknown,i know i shouldnt need to ask but experience has proven its a good i idea tonight i forgot 尉to ask them to make sure the coffee wasnt old and after i drove any i checked and it was not only old it was cold,"I know i shouldn't need to ask but experience has proven it's a good I idea, tonight I forgot 尉to ask them to make sure the coffee wasn't old and after i drove any i checked and it was not only old it was cold",review,temperature
rev_47_1,50104443,Unknown,i saw the manager filling orders for drivethru customers using bare hands  no gloves or utensils to pack fries  and this is the weirdest thing ever she was fingering plastic cup lids,I saw the manager filling orders for drive-thru customers using bare hands - no gloves or utensils to pack fries - and this is the weirdest thing ever: she was 'fingering' plastic cup lids,review,contamination
rev_47_3,50104443,Unknown,she poked her finger through the plastic cup lids in the slit made for straws before inserting straws,She poked her finger through the plastic cup lids (in the slit made for straws) before inserting straws,review,contamination
rev_47_5,50104443,Unknown,imagine a finger no gloves super long nails painted and this being inserted into every cup lid before inserting the straw,"Imagine a finger, no gloves, super long nails, painted, and this being inserted into every cup lid before inserting the straw",review,contamination
rev_47_9,50104443,Unknown,the straw can be used to go through the straw slit,The straw can be used to go through the straw slit,review,contamination
rev_47_13,50104443,Unknown,and the cashier had a bad cold and was wiping his runny nose all over with the back of his hand,And the cashier had a bad cold and was wiping his runny nose all over with the back of his hand,review,"temperature,contamination"
rev_47_15,50104443,Unknown,who knows where her handa been,Who knows where her hand'a been,review,contamination
rev_48_3,50063625,Unknown,i live across the street and refuse to stop there,I live across the street and REFUSE to stop there,review,contamination
rev_48_9,50063625,Unknown,only thing they will give you is cold food after a 30 min wait a major headache and crappy service,"only thing they will give you is COLD food after a 30 min wait, a major headache and crappy service",review,temperature
rev_50_6,50138927,Unknown,i had to request a straw for my large soda,I had to request a straw for my large soda,review,contamination
rev_50_7,50138927,Unknown,尉guess i should have checked my sandwich while i looked for the missing straw,尉Guess I should have checked my sandwich while I looked for the missing straw,review,contamination
rev_57_3,50053935,Unknown,尉this location was recently leveled and rebuilt  and they did a complete 180  and when i say that the building was even rotated by 90 degrees,"尉This location was recently LEVELED and rebuilt - and they did a complete 180 - and when I say that, the building was even rotated by 90 degrees",review,temperature
rev_57_7,50053935,Unknown,the new one is sleek clean modern and beautiful,"The new one is sleek, clean, modern and beautiful",review,contamination
rev_57_8,50053935,Unknown,尉the drivethru staff was super friendly i was buying a sprite for heavens sake and both the young lady who took my money and the one who handed me my drink said we hope to see you back here again soon,"尉The drive-thru staff was super friendly (I was buying a Sprite for heaven's sake) and both the young lady who took my money and the one who handed me my drink said ""we hope to see you back here again soon",review,contamination
rev_60_0,50060781,Unknown,went to order a meal via drive through and there was a live roach not waterbug on the window crawling in mid day,Went to order a meal via drive through and there was a live roach (not waterbug) on the window crawling in mid day,review,"pests,contamination"
rev_60_1,50060781,Unknown,i showed it to the gentleman that was collecting my payment and he never noticed the roach there,I showed it to the gentleman that was collecting my payment and he never noticed the roach there,review,pests
rev_61_3,50114629,Unknown,尉i stopped into this mickey ds and right behind the register i saw big breakfast with hotcakes,"尉I stopped into this Mickey D's and right behind the register I saw ""Big Breakfast with Hotcakes",review,temperature
rev_61_5,50114629,Unknown,just seconds after swiping my credit card i was handed a tray with three hotcakes mcdonalds pancakes scrambled eggs a sausage patty a biscuit and a mcdonalds hash brown,"Just seconds after swiping my credit card, I was handed a tray with three hotcakes (McDonald's pancakes), scrambled eggs, a sausage patty, a biscuit, and a McDonald's hash brown",review,"temperature,contamination"
rev_65_5,41532134,Unknown,again curry honda is located super close to the mcdonalds so the food should have still been hot or at least warm when i got there,"Again, Curry Honda is located super close to the McDonald's, so the food should have still been hot (or at least warm) when I got there",review,temperature
rev_65_7,41532134,Unknown,尉i guess the food had been cooked and sitting out for a while and they must keep cups of ice water ready to hand out to customers,"尉I guess the food had been cooked and sitting out for a while, and they must keep cups of ice water ready to hand out to customers",review,contamination
rev_65_12,41532134,Unknown,尉yes service could have been quicker and the food should have been served hotter but this is a mcdonalds and at least the employees were friendly,""" 尉Yes, service could have been quicker, and the food should have been served hotter, but this is a McDonald's and at least the employees were friendly",review,temperature
rev_71_0,50013062,Unknown,hot fries i like,Hot fries i like,review,temperature
rev_73_1,50152508,Unknown,i placed my order through the intercom and was told that id have to pay in separate transactions if i were to use more than 1 coupon,I placed my order through the intercom and was told that I'd have to pay in separate transactions if I were to use more than 1 coupon,review,pests
rev_74_0,50104962,Unknown,food is good but whats with all the flies and nats always in the air,Food is good but what's with all the flies and nats always in the air,review,pests
rev_75_0,50088045,Unknown,fruit flies anyone,Fruit flies anyone,review,pests
