doc_id,business_id,business_name,text,original_text,source,tags
insp_0,50005685,KING'S WOK,cold tcs food item held above 41 f smoked or processed fish held above 38 f intact raw eggs held above 45 f or reduced oxygen packaged rop tcs foods held above required temperatures except during active necessary preparation,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,violation,"pests,temperature,contamination"
insp_1,50131902,YUMMY HOUSE,food contact surface not properly washed rinsed and sanitized after each use and following any activity when contamination may have occurred,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",violation,contamination
insp_2,50132315,CHINA EXPRESS,pesticide not properly labeled or used by unlicensed individual pesticide other toxic chemical improperly usedstored unprotected unlocked bait station used,"Pesticide not properly labeled or used by unlicensed individual. Pesticide, other toxic chemical improperly used/stored. Unprotected, unlocked bait station used.",violation,pests
insp_3,41618394,CREATE,food supplies or equipment not protected from potential source of contamination during storage preparation transportation display service or from customers refillable reusable container condiments not in singleservice containers or dispensed directly by the vendor,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",violation,"pests,contamination"
insp_4,50099874,LARK CAFE,garbage receptacle not pest or water resistant with tightfitting lids and covered except while in active use garbage receptacle and cover not cleaned after emptying and prior to reuse garbage refuse and other solid and liquid waste not collected stored removed and disposed of so as to prevent a nuisance,"Garbage receptacle not pest or water resistant, with tight-fitting lids, and covered except while in active use. Garbage receptacle and cover not cleaned after emptying and prior to reuse. Garbage, refuse and other solid and liquid waste not collected, stored, removed and disposed of so as to prevent a nuisance.",violation,"pests,contamination"
insp_5,50134149,MCKINSEY & CO. - 60TH FLOOR,nonfood contact surface or equipment made of unacceptable material not kept clean or not properly sealed raised spaced or movable to allow accessibility for cleaning on all sides above and underneath the unit,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",violation,contamination
insp_6,50107442,DOUBLE CHICKEN PLEASE,establishment is not free of harborage or conditions conducive to rodents insects or other pests,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",violation,pests
insp_7,50045788,CHINELOS II DELI-GROCERY RESTAURANT,cold tcs food item held above 41 f smoked or processed fish held above 38 f intact raw eggs held above 45 f or reduced oxygen packaged rop tcs foods held above required temperatures except during active necessary preparation,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,violation,"pests,temperature,contamination"
insp_8,50088490,EL TAMALITO,antisiphonage or backflow prevention device not provided where required equipment or floor not properly drained sewage disposal system in disrepair or not functioning properly condensation or liquid waste improperly disposed of,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,violation,
insp_9,50144962,T TIME BOBA,food contact surface not properly washed rinsed and sanitized after each use and following any activity when contamination may have occurred,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",violation,contamination
insp_10,50166713,CUPPA COFFEE,establishment is not free of harborage or conditions conducive to rodents insects or other pests,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",violation,pests
insp_11,50095406,DUNKIN'/UHALL COMMONS CAFE,filth flies or foodrefusesewage associated with frsa flies or other nuisance pests in establishments food andor nonfood areas frsa flies include house flies blow flies bottle flies flesh flies drain flies phorid flies and fruit flies,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",violation,pests
insp_12,50133302,POTBELLY,cold tcs food item held above 41 f smoked or processed fish held above 38 f intact raw eggs held above 45 f or reduced oxygen packaged rop tcs foods held above required temperatures except during active necessary preparation,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,violation,"pests,temperature,contamination"
insp_13,50077905,LAKOU CAFE,cold tcs food item held above 41 f smoked or processed fish held above 38 f intact raw eggs held above 45 f or reduced oxygen packaged rop tcs foods held above required temperatures except during active necessary preparation,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,violation,"pests,temperature,contamination"
insp_14,50059059,ORALE TACOS,establishment is not free of harborage or conditions conducive to rodents insects or other pests,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",violation,pests
insp_15,40647906,TERRACE ON THE PARK,establishment is not free of harborage or conditions conducive to rodents insects or other pests,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",violation,pests
insp_16,50105549,16 HANDLES,no hand washing facility in or adjacent to toilet room or within 25 feet of a food preparation food service or ware washing area hand washing facility not accessible obstructed or used for nonhand washing purposes no hot and cold running water or water at inadequate pressure no soap or acceptable handdrying device,"No hand washing facility in or adjacent to toilet room or within 25 feet of a food preparation, food service or ware washing area. Hand washing facility not accessible, obstructed or used for non-hand washing purposes. No hot and cold running water or water at inadequate pressure. No soap or acceptable hand-drying device.",violation,"pests,temperature,contamination"
insp_17,41611253,DUNKIN,nonfood contact surface or equipment made of unacceptable material not kept clean or not properly sealed raised spaced or movable to allow accessibility for cleaning on all sides above and underneath the unit,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",violation,contamination
insp_18,50130429,ASA BOWLS,food supplies or equipment not protected from potential source of contamination during storage preparation transportation display service or from customers refillable reusable container condiments not in singleservice containers or dispensed directly by the vendor,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",violation,"pests,contamination"
insp_19,50152131,CRUMBL COOKIES,nonfood contact surface or equipment made of unacceptable material not kept clean or not properly sealed raised spaced or movable to allow accessibility for cleaning on all sides above and underneath the unit,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",violation,contamination
insp_20,50037612,MANGO MANGO,nonfood contact surface or equipment made of unacceptable material not kept clean or not properly sealed raised spaced or movable to allow accessibility for cleaning on all sides above and underneath the unit,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",violation,contamination
insp_21,50088490,EL TAMALITO,hot tcs food item not held at or above 140 f,Hot TCS food item not held at or above 140 °F.,violation,temperature
insp_22,50088490,EL TAMALITO,food supplies or equipment not protected from potential source of contamination during storage preparation transportation display service or from customers refillable reusable container condiments not in singleservice containers or dispensed directly by the vendor,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",violation,"pests,contamination"
insp_23,41655257,ROSEN'S CAFE,filth flies or foodrefusesewage associated with frsa flies or other nuisance pests in establishments food andor nonfood areas frsa flies include house flies blow flies bottle flies flesh flies drain flies phorid flies and fruit flies,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",violation,pests
insp_24,40384188,LA MELA,filth flies or foodrefusesewage associated with frsa flies or other nuisance pests in establishments food andor nonfood areas frsa flies include house flies blow flies bottle flies flesh flies drain flies phorid flies and fruit flies,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",violation,pests
insp_25,40366938,LULU'S COFFEE SHOP,no hand washing facility in or adjacent to toilet room or within 25 feet of a food preparation food service or ware washing area hand washing facility not accessible obstructed or used for nonhand washing purposes no hot and cold running water or water at inadequate pressure no soap or acceptable handdrying device,"No hand washing facility in or adjacent to toilet room or within 25 feet of a food preparation, food service or ware washing area. Hand washing facility not accessible, obstructed or used for non-hand washing purposes. No hot and cold running water or water at inadequate pressure. No soap or acceptable hand-drying device.",violation,"pests,temperature,contamination"
insp_26,41325638,TRIBECA BAGELS,food contact surface not properly washed rinsed and sanitized after each use and following any activity when contamination may have occurred,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",violation,contamination
